entity1,relationship,entity2
Snow,amongst,Night
Lannister,plans,Starks
Tywin,discusses,House
Tywin,hates,Tywin
Lannister,is,Lannister
Lannister,considers,Tyrion
Greyjoy,attempts,Osha
Luwin,dismisses,Theon
Benjen,is,Jon
Jon,is,Benjen
Mormont,names,Night
Aemon,has,Samwell
Sam,suggests,Jon
Jon,is,Lord
Pypar,admits,Watch
Ghost,brings,Jon
Daenerys,tries,Drogo
Daenerys,attempts,Khal
Drogo,is,Free
Seven,reminds,Aegon
Jorah,is,Varys
Daenerys,is,Arbor
Jorah,tells,Daenerys
Daenerys,is,Jorah
Angered,begins,Dothraki
Dothraki,has,Iron
Stark,meets,Cersei
Cersei,is,Targaryen
Targaryen,admits,Robert
Robert,returns,Cersei
Cersei,happens,Robert
Cersei,calls,Ned
Littlefinger,instructs,Ros
Renly,finds,Eddard
Eddard,tells,Robert
Eddard,finds,Robert
Eddard,chooses,Robert
Robert,instructs,Eddard
Eddard,does,Joffrey
Robert,asks,Daenerys
Eddard,talks,Varys
Varys,is,Daenerys
Ned,sends,Stannis
Renly,confronts,Eddard
Eddard,offers,Eddard
Eddard,refuses,Robert
Renly,suggests,Eddard
Eddard,points,Stannis
Stannis,is,Renly
Stannis,instructs,Dragonstone
Littlefinger,arrives,Eddard
Eddard,tells,Joffrey
Littlefinger,suggests,Joffrey
Littlefinger,realizes,Lord
Eddard,has,Robert
Realm,needs,Cersei
Littlefinger,understands,Eddard
Eddard,is,King
Varys,tells,Renly
Renly,has,Ser
Joffrey,sits,Iron
Eddard,gives,Ser
Eddard,responds,Joffrey
Joffrey,has,Iron
Iron,commands,Slynt
Robert,means,Robert
Baratheon,is,Iron
Tarly,is,Sam
Sam,tells,Jon
Eddard,does,Stannis
Stannis,has,Dragonstone
Stannis,has,Littlefinger
Stannis,has,Dragonstone
Mormont,foils,Daenerys
Targaryen,swears,Iron
Mormont,addresses,Night
Aemon,gives,Night
Baelish,betrays,Eddard
Selmy,reads,Robert
Robert,goes,Eddard
Stark,wakes,Jaime
Cersei,is,Eddard
Robert,refuses,Eddard
Cersei,calls,Robert
Robert,restores,Eddard
Hand,tells,Jaime
Arya,has,Syrio
Syrio,is,Jory
Robert,is,Renly
Robert,has,Renly
Renly,calls,Robert
Renly,storms,Ser
Lancel,keeps,King
Eddard,hears,Riverlands
Mountain,is,Lannister
Catelyn,holds,Tyrion
Eddard,strips,Gregor
Clegane,sends,Lord
Eddard,discovers,Jon
Joffrey,comes,Sansa
Sansa,is,Queen
Eddard,decides,Winterfell
Arya,is,Syrio
Sansa,cares,Joffrey
Sansa,is,Joffrey
Eddard,sends,Jon
Eddard,finds,Baratheon
Baratheon,has,Cersei
Hodor,has,Tyrion
Theon,thinks,Robb
Robb,has,Winterfell
Robb,finds,Bran
Robb,holds,Bran
Theon,tells,Ros
Ros,leaves,King
Theon,is,Winterfell
Tyrion,uses,Lysa
Lysa,is,Tyrion
Tyrion,demands,Lysa
Lysa,asks,Ser
Egen,is,Tyrion
Tyrion,names,Jaime
Lysa,does,Jaime
Tyrion,seems,Tyrion
Tyrion,is,Bronn
Bronn,kicks,Ser
Bronn,wounds,Vardis
Lysa,complains,Bronn
Bronn,indicates,Vardis
Rodrik,gives,Mord
Robin,asks,Tyrion
Irri,takes,Daenerys
Daenerys,is,Irri
Drogo,is,Dothraki
Daenerys,says,Rhaego
Daenerys,carries,Viserys
Viserys,is,Daenerys
Viserys,tells,Ser
Jorah,has,Dothraki
Jorah,wants,Daenerys
Viserys,interrupts,Daenerys
Irri,translates,Drogo
Drogo,gives,Viserys
Drogo,responds,Viserys
Viserys,is,Drogo
Drogo,melts,Viserys
Viserys,begs,Daenerys
Daenerys,states,Viserys
Lysa,is,House
Lord,is,Jon
Drogo,gives,Viserys
Stark,wakes,Robert
Mormont,is,Jorah
Aegon,is,Seven
Robert,forces,Eddard
Vale,finds,Ser
Crown,is,Bran
Lannister,is,Seven
Robert,is,Tywin
Eddard,sits,Baratheon
Drogo,pours,Viserys
Stark,is,Stark
Stark,alsoEdit,Crown
Cersei,manipulates,Sansa
Robb,rallies,Tywin
Jon,lashes,Ser
Thorne,battles,Wall
Dany,is,Westeros
Mormont,refuses,Maester
Jon,is,Mormont
Mormont,has,Eddard
Jon,attempts,Mormont
Mormont,has,Night
Jon,expresses,Mormont
Mormont,is,Jon
Jon,charges,Thorne
Thorne,is,Grenn
Jon,is,Ghost
Jon,is,Night
Sam,says,Walkers
Wall,is,Walkers
Catelyn,is,Lysa
Lysa,is,Vale
Vale,tribes,Shagga
Tyrion,tribes,House
Lannister,is,House
Robb,receives,Sansa
Luwin,is,Queen
Robb,sends,North
Robb,promises,Lannisters
Stark,goes,Robb
Robb,diffuses,Greatjon
Greatjon,accepts,Robb
Robb,says,Bran
Rickon,is,Robb
Bran,is,Osha
Osha,tells,Old
Hodor,has,Osha
Arya,is,Tywin
Trident,is,Twins
Lannister,is,Robb
Robb,sends,Lord
Stark,is,Neck
Tywin,accepts,Shagga
Daenerys,notes,Drogo
Daenerys,is,Dothraki
Dothraki,is,Dothraki
Drogo,stops,Mago
Drogo,dismisses,Daenerys
Daenerys,allows,Mirri
Septa,tells,Sansa
Sandor,takes,Sansa
Syrio,holds,Arya
Arya,faces,Trant
Arya,runs,Winterfell
Arya,knows,Red
Arya,turns,Needle
Varys,visits,Eddard
Eddard,says,Cersei
Varys,tells,Eddard
Eddard,is,King
Varys,tells,Catelyn
Catelyn,holds,Tyrion
Eddard,suggests,Varys
Eddard,asks,Varys
Varys,serves,Varys
Joffrey,holds,Red
Watch,is,Lord
Cersei,dismisses,Ser
Selmy,is,Kingsguard
Joffrey,says,Selmy
Selmy,learns,Lord
Commander,is,Jaime
Selmy,throws,Joffrey
Sansa,begs,Joffrey
Joffrey,says,Eddard
Arya,tells,Ned
Sansa,is,Septa
Cersei,has,Sansa
Alliser,takes,Jon
Snow,gets,Eddard
Robb,holds,Great
Bran,appears,Mormont
Mormont,does,Mormont
Greatjon,is,Grey
Selmy,draws,Kingsguard
Barristan,is,Great
Ned,is,Ned
Arya,kills,Arya
Keep,is,Winterfell
Mago,is,Mago
Tarly,is,Sam
Flowers,is,Castle
Othor,is,Castle
Snow,discovers,Lord
Khal,is,Crown
Snow,prepares,Wall
Jon,discovers,Night
Kingsroad,threatens,King
Targaryen,accompanies,Drogo
Drogo,provides,Westeros
Eddard,has,Westeros
Dothraki,handmaidens,Irri
Daenerys,seeks,Doreah
Doreah,instructs,Daenerys
Daenerys,is,Drogo
Drogo,starts,Dothraki
Stark,says,Jon
Lannister,insists,Joffrey
Joffrey,means,Tyrion
Tyrion,breakfasts,Wall
Bran,is,Cersei
Snow,has,Winterfell
Arya,is,Needle
Jon,urges,Arya
Jon,says,Bran
Eddard,says,Catelyn
Catelyn,is,Bran
Eddard,tells,Jon
Jon,does,Eddard
Baratheon,calls,Eddard
Eddard,points,Dothraki
Robert,is,Seven
Robert,asks,Eddard
Catelyn,holds,Bran
Watch,is,Wall
Catelyn,goes,Bran
Rodrik,suspects,Lannisters
Catelyn,decides,Ned
Jon,sees,Wall
Benjen,welcomes,Tyrion
Tyrion,seems,Wall
Kingsroad,reaches,Crossroads
Joffrey,saves,Sansa
Joffrey,pretends,Mycah
Mycah,starts,Mycah
Joffrey,threatens,Arya
Nymeria,attacks,Joffrey
Mycah,runs,Arya
Arya,throws,Joffrey
Sansa,tries,Joffrey
King,has,Hand
Cersei,requests,Sansa
Eddard,attends,Hound
Eddard,asks,Hound
Eddard,kills,Lady
Rast,assassin,Ser
Kingsroad,runs,Wall
Ilyn,appears,King
Essos,shows,Dothraki
Cersei,is,Catelyn
Wolf,discusses,Robert
Tyrion,says,Tywin
Jon,responds,Tyrion
Joffrey,offers,Sansa
Snow,notes,Ned
Jon,does,Catelyn
Cersei,is,Sansa
Daenerys,is,Khal
Kingsroad,is,Tyrion
Stark,'s,Night
Eddard,is,North
Stark,tends,Luwin
Luwin,visits,Stark
Arya,tends,Daenerys
Kingsroad,is,Crown
Lannister,stops,Winterfell
Landing,gets,Robb
Tarly,joins,Night
Daenerys,stands,Viserys
Stark,continues,Jon
Baratheon,hosts,Eddard
Tyrion,speaks,Bran
Stark,direwolves,Stark
Stark,is,Tyrion
Robb,offers,Watch
Tyrion,is,Winterfell
Bran,arrives,Tyrion
Tyrion,sympathizes,Bran
Bran,annoys,Bran
Bran,likes,Tyrion
Bran,has,Cripples
Robb,says,Tyrion
Theon,comes,Tyrion
Tyrion,sends,Ros
Tyrion,asks,Theon
Catelyn,concludes,Catelyn
Catelyn,is,Winterfell
Greyjoy,has,Winterfell
Winterfell,infuriates,Theon
Theon,has,Ros
Tarly,joins,Castle
Watch,has,Samwell
Snow,takes,Sam
Jon,has,Lady
Samwell,is,Jon
Sam,joins,Jon
Jon,asks,Night
Rast,refuses,Ser
Jon,uses,Ghost
Grenn,takes,Sam
Alliser,scolds,Jon
Sam,tells,Jon
Jon,has,Jon
Thorne,comes,Jon
Drogo,arrives,Dothraki
Viserys,is,Drogo
Doreah,tells,Targaryen
Viserys,is,Daenerys
Daenerys,sends,Doreah
Viserys,'s,Dragon
Viserys,is,Khal
Khal,is,Viserys
Viserys,is,Dothraki
Daenerys,confides,Mormont
Stark,visits,Great
Septa,discuss,Sansa
Sansa,has,Joffrey
Joffrey,is,Lady
Eddard,comes,Arya
Arya,asks,Bran
Landing,'s,Eddard
Eddard,states,Bran
Arya,asks,Eddard
Eddard,suggests,Jon
Arryn,has,Hand
Eddard,decides,Littlefinger
Eddard,sends,Jory
Eddard,meets,Tobho
Eddard,realizes,Gendry
Gendry,is,King
Eddard,sends,Jory
Lannister,cavorts,Jaime
Jaime,is,Jaime
Jaime,does,Lord
Littlefinger,sits,Sansa
Baelish,tells,Sansa
Rides,has,Sandor
Littlefinger,recommends,Sansa
Cersei,visits,Eddard
Cersei,wonders,Eddard
Eddard,is,King
Landing,knows,Starks
Eddard,is,King
Bronn,agrees,Tyrion
Marillion,draws,Tyrion
Tyrion,recognizes,Catelyn
Catelyn,tells,Tyrion
Tyrion,finds,Catelyn
Seven,lists,Houses
Wall,is,Robert
Catelyn,arrests,Tyrion
Cripples,is,Bran
Tyrion,becomes,King
Ned,is,King
Catelyn,is,Lysa
Lannister,has,Bronn
Inn,is,Vale
Tyrion,piques,Bronn
Arryn,has,Eyrie
Tyrion,protests,Bran
Tyrion,saves,Catelyn
Arryn,holds,Robin
Lysa,is,Cat
Cat,has,Tyrion
Tyrion,is,House
Lysa,is,Vale
Vale,is,Eyrie
Bran,gets,Luwin
Luwin,suggests,Dothraki
Dothraki,pleases,Bran
Greyjoy,enjoys,Ros
Ros,compares,Tyrion
Stark,arrives,Lord
Eddard,is,Ser
Barristan,reflects,Robert
Stark,discuss,Ser
Eddard,finds,King
Robert,is,Eddard
Loras,gives,Sansa
Loras,confuses,Mountain
Gregor,decapitates,Ser
Clegane,comes,Loras
Sandor,bows,Gregor
Loras,declares,Sandor
Varys,is,Eddard
Eddard,wants,Varys
Varys,tells,Eddard
Illyrio,suggests,Eddard
Varys,finds,Littlefinger
Varys,knows,Littlefinger
Arryn,reminds,Littlefinger
Littlefinger,knows,Varys
Illyrio,knows,Varys
Renly,informs,Robert
Yoren,has,Crossroads
Eddard,keeps,Arya
Arya,asks,Jory
Robert,tells,Eddard
Targaryen,is,Iron
Varys,meets,Illyrio
Eddard,is,Littlefinger
Littlefinger,offers,Eddard
Renly,complains,Robert
Robert,is,Kingswood
Loras,urges,Renly
Renly,is,Iron
Joffrey,is,Tommen
Tommen,laughs,Robert
Cersei,takes,Eddard
Loras,urges,Renly
Robert,agrees,Westeros
Cersei,suggests,Seven
Robert,underestimates,Westeros
Stark,surprises,Robert
Cersei,says,Robert
Littlefinger,brings,Eddard
Arryn,is,Littefinger
Eddard,meets,Robert
Mhaegen,has,Robert
Eddard,asks,Littlefinger
Robert,does,Robert
Jaime,has,Tyrion
Eddard,says,Tyrion
Eddard,is,Lannister
Jaime,threatens,Eddard
Eddard,does,Tyrion
Jaime,says,Eddard
Jory,engages,Jaime
Jaime,is,Jaime
Eddard,crosses,Jaime
Jaime,is,Ned
Jaime,starts,Ned
Renly,states,Loras
Loras,is,Robert
Cersei,mentions,Robert
Wolf,is,Eddard
Lannister,is,Kingsroad
Tyrion,knows,Lannister
Arya,is,Hand
Joffrey,is,Tommen
Loras,proclaims,Sandor
Vale,gives,Tyrion
Lannister,kills,Jory
Lannister,defends,House
Stark,discovers,King
King,gives,Tyrion
Catelyn,interrogates,Jaime
Arya,assumes,King
Sansa,is,Joffrey
Jon,is,Watch
Stark,is,Sandor
Payne,holds,Lord
Yoren,drags,Arya
Watch,warns,Cersei
Joffrey,is,Robert
Joffrey,asks,Marillion
Joffrey,commands,Ilyn
Joffrey,takes,Sansa
Sansa,retorts,Robb
Sansa,moves,Joffrey
Lannister,has,Lancel
Lancel,is,Cersei
Pycelle,takes,Ros
Ros,has,Aerys
Yoren,has,Night
Arya,is,Arry
Gendry,is,King
Gendry,breaks,Arya
Yoren,has,Wall
Osha,takes,Bran
Rickon,leaps,Eddard
Rickon,calls,Shaggydog
Shaggydog,reveals,Bran
Osha,is,Bran
Luwin,is,Eddard
Catelyn,comforts,Eddard
Robb,falls,Lannisters
Catelyn,promises,Sansa
Baratheon,is,Renly
Renly,has,Stannis
Stannis,is,Cersei
Umber,becomes,North
Umber,is,Robb
Catelyn,visits,Jaime
Lannister,taunts,Ned
Jaime,does,Jaime
Jaime,realizes,Starks
Starks,holds,Sansa
Catelyn,asks,Ned
Tywin,is,Jaime
Jaime,has,Starks
Lannister,is,Tywin
Tywin,decides,Harrenhal
Tywin,tells,Baelish
Tyrion,complains,Shae
Shae,decides,Tywin
Jon,leaves,Castle
Jon,realizes,Sam
Jon,realizes,Jon
Jon,does,Robb
Mormont,decides,Jon
Mormont,tells,Jon
Starks,is,Walkers
Mormont,means,Night
Jon,agrees,Night
Daenerys,wakes,Ser
Daenerys,demands,Mirri
Duur,explains,Daenerys
Duur,agrees,Daenerys
Daenerys,says,Drogo
Daenerys,is,Drogo
Rakharo,places,Mirri
Jorah,believes,Daenerys
Duur,burns,Daenerys
Lannister,has,Karstark
Landing,is,Yoren
Stark,is,King
Greyjoy,declares,King
Iron,attacks,North
Bran,gives,Robert
Luwin,takes,Bran
Bran,is,Shaggydog
Rickon,arrives,Rickon
Jon,deserts,Sam
Sam,tells,Jon
Sam,remains,Castle
Yoren,tells,Arya
Clegane,has,Ser
Meryn,switches,Marillion
Robb,is,Mormont
Jon,flees,Castle
Arya,leaves,King
Daenerys,is,Drogon
Joffrey,shows,Sansa
Baratheon,means,Stannis
Stark,threatens,Hot
Castle,begs,Joffrey
Clegane,warns,Sansa
Lannister,appoints,Tyrion
Stark,is,King
Targaryen,reassures,Jorah
Drogo,is,Crown
Watch,is,Punishment
Jon,is,Fist
Daenerys,meets,Jaime
Selmy,walks,Punishment
Jorah,is,Barristan
Barristan,is,Seven
Jorah,claims,Unsullied
Jorah,responds,Rhaegar
Viserys,asks,Ser
Barristan,says,Rhaegar
Daenerys,wishes,Rhaegar
Daenerys,speaks,Kraznys
Nakloz,shows,Unsullied
Daenerys,says,Unsullied
Daenerys,is,Iron
Kraznys,demands,Missandei
Daenerys,speaks,Missandei
Jon,says,Night
Fist,asks,Mance
Mance,says,Mormont
Mormont,'s,Wall
Mance,warns,Jon
Mance,is,Tormund
Mance,makes,Mance
Mance,boasts,North
Jon,knows,Castle
Black,turns,Night
Mormont,leads,Night
Craster,mocks,Battle
Craster,is,Walkers
Sam,witnesses,Gilly
Gilly,realize,Craster
Brynden,takes,Riverrun
Tully,is,Red
Stark,has,Northern
Northern,helps,Hoster
Blackfish,turns,Edmure
Catelyn,mourns,Brynden
Brynden,explains,Hoster
Brynden,insists,Robb
Robb,urges,Robb
Tyrion,is,Pod
Edmure,begins,Battle
Edmure,insists,Willem
Edmure,tries,Lannister
Robb,cuts,Tywin
Lannister,needs,Starks
Talisa,bandages,Willem
Lannister,calls,Council
Baelish,sits,Tywin
Varys,rolls,Littlefinger
Pycelle,does,Tywin
Cersei,is,Tywin
Tyrion,stands,Tywin
Tywin,is,Jaime
Tywin,is,Varys
Robb,has,Riverrun
Varys,makes,Littlefinger
Harrenhal,makes,Roose
Tywin,says,Roose
Roose,is,Littlefinger
Pycelle,notes,Littlefinger
Tywin,states,Vale
Arryn,has,Robb
Stark,is,House
Vale,leaves,Council
Tywin,has,Tyrion
Pod,loads,Ros
Littlefinger,says,Tyrion
Baelish,hopes,Tyrion
Tyrion,owes,Ros
Tyrion,wants,Battle
Blackwater,has,Podrick
Podrick,has,Marei
Tyrion,explains,Bronn
Bronn,is,Baelish
Bronn,thinks,Littlefinger
Littlefinger,has,Tyrion
Iron,is,Littlefinger
Tyrion,warns,Bronn
Podrick,returns,Tyrion
Tyrion,is,Pod
Baratheon,speaks,Melisandre
Stannis,wants,Joffrey
Robb,asks,Renly
Melisandre,fears,Stannis
Stannis,does,Melisandre
Melisandre,possesses,Lord
Stannis,points,King
Gendry,has,Thoros
Thoros,puts,Arya
Arya,asks,Gendry
Thoros,'s,Riverlands
Jaime,loses,Hot
Pie,is,King
Arya,is,Arya
Arya,turns,Hot
Theon,says,Iron
Iron,says,Iron
Theon,intends,Theon
Jaime,warns,Brienne
Brienne,is,Renly
Brienne,says,Jaime
Jaime,points,Locke
Brienne,is,Lord
Locke,calls,Brienne
Jaime,tries,Locke
Tywin,lets,Jaime
Locke,decides,Jaime
Locke,has,Jaime
Locke,says,Jaime
Tyrion,explains,Littlefinger
Littlefinger,turns,Iron
Tyrion,says,Iron
Bronn,points,Tywin
Tywin,is,Iron
Inside,explains,Tyrion
Podrick,feels,King
Tyrion,is,Podrick
Stark,challenges,Sandor
Joffrey,has,Arya
Tully,calls,Blackfish
Tully,is,Brynden
Stark,tells,Edmure
Lannister,has,Sansa
Sansa,has,Robb
Robb,holds,Tywin
Jorah,has,Ser
Jon,says,Night
Great,contradicts,Qhorin
Tyrion,says,Kayla
Kayla,is,Meereenese
Snow,makes,Bolton
Lannister,is,Jaime
Punishment,is,Storm
Rayder,sends,Jon
Banners,departs,Inn
Baelish,agrees,Eyrie
Jaime,tries,Brienne
Daenerys,agrees,Unsullied
Stark,learns,Edmure
Robb,knows,Brynden
Rayder,is,Lord
Lands,is,Garden
Watch,is,Bear
Book,·,Battle
Landing,hosts,Tyrion
Dany,meets,Titan
Davos,demands,Melisandre
Barristan,explains,Second
Daenerys,tells,Barristan
Daenerys,hosts,Mero
Mero,observes,Daenerys
Daenerys,knows,Lys
Daenerys,reclaims,Iron
Daenerys,drops,Mero
Mero,instructs,Barristan
Sons,is,Mero
Mero,fondles,Yunkish
Mero,gives,Volantis
Braavos,gets,Braavosi
Unsullied,holds,Missandei
Daenerys,is,Missandei
Missandei,says,Daenerys
Daenerys,asks,Daario
Sam,slays,Walker
Sam,is,Gilly
Sam,suggests,Gilly
Gilly,likes,Randyll
Gilly,is,Walker
Sam,tries,Walker
Sam,attacks,Walker
Sandor,hates,Arya
Arya,disbelieves,Sandor
Arya,thinks,Blackwater
Landing,is,Twins
Arya,has,Hound
Melisandre,arrives,Dragonstone
Stannis,is,Melisandre
Melisandre,is,Gendry
Seaworth,is,Stannis
Davos,is,Gendry
Davos,protests,Renly
Stannis,argues,Stannis
Stannis,is,Westeros
Stannis,has,Davos
Davos,speculates,Stannis
Stannis,is,Davos
Melisandre,seduces,Gendry
Stannis,throws,Melisandre
Melisandre,wants,Robb
Tyrion,speaks,Sansa
Sansa,agrees,Lannisters
Tyrell,tries,Cersei
Cersei,responds,Margaery
Castamere,refers,House
Margaery,dares,Cersei
Joffrey,escorts,Sansa
Sansa,removes,Tyrion
Tyrion,reminds,Tywin
Joffrey,has,Sansa
Joffrey,gets,Kingsguard
Sansa,'s,Lannister
Joffrey,does,Lannister
Lannister,says,Tyrion
Tyrion,is,Kingsguard
Joffrey,involves,Tyrion
Joffrey,keeps,Tyrion
Tyrion,threatens,Joffrey
Joffrey,seethes,Tyrion
Tywin,defuses,Joffrey
Sansa,does,Tyrion
Tyrion,begins,Night
Shae,notices,Sansa
Sons,/Appearances,First
Essos,is,Mero
Mero,is,Second
Ghezn,is,Daario
Daario,is,Prendahl
Tyrion,is,Tywin
Lannister,is,Sandor
Sandor,is,Clegane
Gregor,has,Lannisters
Robert,is,Gendry
Gendry,is,Gendry
Stark,is,Eddard
Eddard,produces,Myrcella
Tarly,has,Randyll
Samwell,reveals,Walkers
Walker,is,Sam
Gilly,is,Jon
Walker,is,Craster
Tyrion,makes,Prince
Melisandre,performs,Gendry
Sons,is,Storm
Sam,uses,Walker
Tyrion,threatens,Joffrey
Tyrion,realizes,Sansa
Melisandre,drains,Robert
Stannis,throws,Robb
Naharis,returns,Mero
Hound,tells,Arya
Arya,is,Twins
Joffrey,does,Lannister
Sansa,crosses,Joffrey
Sansa,scurries,Joffrey
Joffrey,follows,Tyrion
Sons,is,Kingsroad
Lands,is,Garden
Watch,is,Bear
Book,·,Battle
Hound,is,Jaime
Jaime,is,Jon
Jon,proves,Robb
Robb,is,Tyrion
Tormund,warns,Jon
Snow,is,Tormund
Orell,asks,Night
Orell,has,Wall
Orell,says,Wall
Black,is,Shadow
Jon,is,Castle
Jon,is,Orell
Orell,is,Castle
Tormund,tells,Jon
Ygritte,is,Jon
Ygritte,steals,Longclaw
Ygritte,wants,Jon
Snow,has,Night
Jon,has,Jon
Jon,stops,Jon
Ygritte,is,Jon
Ygritte,tells,Jon
Mormont,tells,Ser
Jorah,explains,Siege
Barristan,is,Siege
Barristan,admits,Robert
Barristan,'s,King
Jorah,says,Barristan
Barristan,warns,Jorah
Jorah,is,Westeros
